Sentence,Sentiment
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",1
"According to Finnish Metso Minerals , the value of the company 's orders has gone up to EUR 1.9 bn in 12 months .",1
Breakingviews: IAG can pay more for Aer Lingus,1
Standard Chartered Shifts Emerging-Markets Strategy After Losses,0
"Based upon its unique fiber expertise and innovative approach , the company has a strong market position in several business areas in which it operates .",1
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",0
Aviva weighs cash handout after beating profit forecast,1
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",0
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008 .,1
"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",1
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",1
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",1
Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,0
$JD down 20% in after-hour market. anyone care to explain why?,0
"Operating profit totalled EUR 83.0 mn , up from EUR 23.5 mn year-on-year .",1
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,1
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,1
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",1
$IWM same conditions that sent markets to tumble all hitting this week,0
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,0
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,1
Shire proposes $30 bln all-share tie-up with Baxalta,1
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",0
This transaction will also rationalize our pulp and paper industry related solutions .,1
"I am looking forward to contribute to SRV 's success with my competence '' , says Taneli Hassinen .",1
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,1
"Order intake grew by 40 % year-on-year and 30 % year-on-year , respectively , to EUR 576 million and EUR 1.7 billion for the respective January-September and July-September 2010 periods .",1
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",0
Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia .,1
Exports grew 16.5 percent to 19.1 million liters .,1
"Digia said its consolidated net sales for January-June 2010 were EUR67 .8 m , up 9.7 % on the same period in 2009 ( EUR61 .9 m ) .",1
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,1
G4S sees profits rise but UK contract problems remain,1
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",0
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",1
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,1
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",1
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",1
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,1
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,1
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,1
`` We 've been feeling quite positive about the region as a whole .,1
CompaniesAB InBev signals it won't go hostile for SABMiller,1
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',1
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,0
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,0
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",1
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",1
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",0
"BHP Billiton posts big loss, slashes dividend",0
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,1
$TRX http://stks.co/1KkK Long setup. MACD cross.,1
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,1
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,0
$SPY  still wants higher I think.,1
Poyry has a good track record of major transportation projects in Latin America .,1
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",0
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,1
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,1
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,1
The repurchases shall decrease the distributable capital and reserves .,0
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,0
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",1
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",0
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,1
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",1
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,0
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
Glencore slumps 25 pct as debt fears grow,0
Standard Chartered Not Raising Capital Yet As Dividend Cut,0
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,1
The air traffic of Finland has been in stoppage since then .,0
55 workers in +àm+Ñl will be affected by the close-down .,0
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",0
AstraZeneca shares climb 3% as drug maker ups profits forecasts,1
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,1
The EPS improved to EUR0 .38 from EUR0 .27 .,1
Insight hires Aviva's David Hillier for multi-asset team,1
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,1
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",1
Copper market may get a 2003-style supply shock from Glencore closures,0
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",1
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",1
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",1
"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",1
$SPY Long 1/2 position 137.89,1
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",1
"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",0
$FB still a dog going much lower this week,0
"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",1
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",0
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",0
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",1
The Department Store Division reported an increase in sales of 4 per cent .,1
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,1
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,0
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",1
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,0
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",0
"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",1
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",1
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",1
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",1
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,0
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",1
$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,1
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",1
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",0
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",1
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",1
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",1
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",0
"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",1
$FTI Breakout today after reporting earnings last night,1
"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",1
"Therefore , the company 's 2005 result will remain weaker than that of 2004 .",0
"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",1
Relief for Lewis as Tesco sees sales grow for first time in a year,1
$TSPT  long 8.00,1
The company said it observed a current stabilisation in prices and there is potential for higher prices for deliveries in the first quarter of 2011 .,1
$FB Big Money Is Pouring Into Facebook From All Directions;http://stks.co/sOwG,1
SCANIA Morgan Stanley lifted the share target on Swedish heavy-duty truck and bus maker Scania AB to 330 crowns ( $ 42.4 - 35.2 euro ) from 310 crowns ( $ 39.8 - 33.1 euro ) .,1
"Uponor made an operating profit of EUR 151.0 mn , up from EUR 143.7 mn , which made 2007 a record year .",1
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",0
$WYNN big bounce,1
"Royal Mail, Johnson Matthey lead FTSE lower",0
Morrisons faces festive sales test,0
"Dirk Jones , head of Financial Institutions Client Sales Management , GTS , Citigroup , Inc , said , ` Citi is extremely pleased to be providing global custody services to Pohjola Group Bank .",1
"FDA approves NPS drug, in move validating Shire takeover deal",1
20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,1
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",0
"Department store sales improved by 14 % to EUR 1,070.6 mn .",1
$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,0
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",1
"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",1
$FB watching for bounce tomorrow,1
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 .",0
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,1
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007 .",0
$FB gettin in the buy zone soon ;),1
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,0
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",1
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",1
"Finnish Kemira 's net sales EUR decreased to EUR 1,259.6 mn in January-June 2009 from EUR 1,425.1 mn in January-June 2008 .",0
"$ZSL looking very weak, could be a good short setup.",0
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",1
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",0
$SPY weak close,0
Compass Group says positive for year ahead,1
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 .,1
BHP Billiton drags FTSE lower after slashing dividend,0
"Following the acquisition , Relacom will strengthen its presence in Finland , serving operators and office market with mobile and fixed networks construction , installation and maintenance services .",1
Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,1
1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,1
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",1
"Ramirent 's net sales in the second quarterended June 30 were EURO 128.7 million about U.S. $ 163 million , a 3.3-percent increase compared with EURO 124.6 million for thesecond quarter last year .",1
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,0
"As a domestic business , Best-In is already close to Finnish dog owners .",1
@scottrade Why is $tsla not available for shorting at this time?  Same for $w?,0
YIT says the acquisition is a part of its strategy for expansion in Central and Eastern European markets .,1
"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",1
@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3GLooks promising.,1
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",0
"`` We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE , '' said Juergen Walter , Head of Converged Core , Nokia Siemens Networks .",1
"Rory Fitzgerald , general manager , operations , Bristol Port , said : `` With the use of low maintenance technology we can save up to 30 per cent on servicing , plus the load sensing hydraulics can save us an extra 15 to 30 per cent on fuel consumption . ''",1
Kingfisher takeover of Mr Bricolage could hit a brick wall,0
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",0
$AVGO great growth stk &  also raised dividend . clearly a great investment http://stks.co/r2F3h,1
SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 .,1
The solutions will be used for upgrading the networks of a Russian MSO in 37 different cities in Russia .,1
`` The combined activities will create value for shareholders and be good for our employees and customers .,1
Glencore blames rivals for creating metals glut,0
Estonia 's beer market overall grew three percent last year to 130 million liters .,1
The company will also be compensated for acting as a reserve batch plant .,1
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,1
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering .",0
$INO back in this am small post,1
"`` P&O Ferries now has a very efficient and powerful vessel for its Dover to Calais route , '' head of the shipbuilder 's Rauma yard , Timo Suistio , said .",1
"$pcln back over ""up"" trendline from 10/4",1
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",0
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,1
"In a media advisory , the NTSB said that after subsequent testing , `` the train detection system intermittently failed . ''",0
"Wartsila won the contract in October 2007 and the plant will be installed at Manturovo in the Kostroma region of Russia , about 600 km northeast of Moscow , Russia .",1
"Finnish silicon wafer technology company Okmetic Oyj ( OMX Helsinki : OKM1V ) reported on Thursday ( 7 August ) an operating profit of EUR5 .3 m for the period January-June 2008 , up from EUR3 .3 m in the corresponding period in 2007 .",1
New Credit Suisse boss faces stiff challenge in Asia,0
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",0
"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",1
"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",1
FDA approves Shire's Vyvanse for binge-eating disorder,1
Micron Shares Pounded On Fears Of Loss Of Business From Apple; Stifel Defends $AAPL $MU http://stks.co/t1Z8T @Marjo,0
Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .,1
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,1
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",0
Long $X 24.62,1
Operating profit fell to EUR 6.2 mn from EUR 8.5 mn in the third quarter of 2007 .,0
The pipeline is strong .,1
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",0
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",1
"Kesko 's car import and retailing business , VV-Auto , saw sales grow by 17.1 pct .",1
"Pretax profit rose to EUR 1,019 mn from EUR 1,007 in the corresponding period in 2005 .",1
$COH Gaining Momentum! Nice buy signals here! Long Over $35.92 http://stks.co/t0tAh,1
"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",1
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",1
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,1
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,1
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,0
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,1
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",0
$CAMT Looks like might break down. I'm out,0
"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",0
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",0
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",1
Repeats sees 2008 EBITA above 18 pct of sales .,1
"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",0
"`` We are delighted to announce our support for Intel based handheld platforms , the capabilities of which have made our development easier and faster .",1
$NFLX and $TSLA making all kinds of gains 📈,1
Out of shorts $ALTR at 38.85 with loss,1
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",0
"$FB trend, hits mid 110's and drops",0
"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",1
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,0
"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",1
Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) .,1
"In the fourth quarter of 2008 , net sales increased by 2 % to EUR 1,050.7 mn from EUR 1,027.0 mn in the fourth quarter of 2007 .",1
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",1
"As a result , 12 people will be made redundant and a total of 67 persons are laid off temporarily .",0
$aapl short term fund/redemption liquidations.. Should have the channel cleared soon and on solid footing. $520 is new floor come July! :),0
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,1
"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",1
$RCON some upside today. This thing is severe low float. If there is catalyst for this guy. It can run.,1
"$JE LOOKS like we are bouncing.  Would be nice to finish over $6 today, and make the hammer.  Nice volume from 5.77 bottom.  Fingers crossed",1
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,1
ouch looks like $tsla shorts getting skinned again,1
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,1
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",1
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",0
Tata Steel working with StanChart for UK unit sale - source,1
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,1
Production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,1
AstraZeneca sells US drug rights to Perrigo for $380 mln,1
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,0
$HZNP havent seen vol like this since the runup. lets see one more dip to 2.0x,0
"The subscriptions increase Cargotec 's share capital by 36,780 euros .",1
"Daily Mail owner considering Yahoo bid $yhoo ,up 2,05% https://t.co/extZr1riyP",1
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",1
ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,0
Consumption is forecast to grow by about 2 % .,1
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,1
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,0
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",1
"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",1
SABMiller revenue hit by weaker EM currencies,0
ABB Deutsche Bank upgraded its recommendation on Swiss-Swedish engineering group ABB Ltd. to ` Buy ' from ` Hold ' .,1
"Ackman, in email, says supports Valeant CEO Pearson",1
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",0
The bank sees a potential for Getinge share to rise .,1
"Quarterly diluted EPS on continuing operations came in at 0.21 eur , compared with last year 's 0.12 eur .",1
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,0
"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",1
Tesco leads FTSE higher on Clubcard bid reports,1
Finnair was able to operate most of its leisure flights despite the strike .,1
"Nokia 's share price fell less than one percent to 18.70 euros ( $ 25.41 ) in Helsinki , while Siemens shares fell 1.02 percent to 90.19 euros ( $ 122.57 ) in Frankfurt .",0
"TeliaSonera 's underlying results however included 457 mln skr in positive one-offs , hence the adjusted underlying EBITDA actually amounts to 7.309 bln skr , clearly below expectations , analysts said .",0
"Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today it will temporarily lay off up to 200 people for a maximum of 90 day in Finland , aiming to achieve cost savings of EUR 1.7 million USD 2m in the second half of 2010 .",0
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,0
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,1
"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation .",1
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",0
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",0
UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,1
"Really surprised by how much $FB has now fallen. Thought there'd be some support around the 50d, but I guess not.",0
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,0
The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,1
Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,0
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,0
The parties have also agreed on options that allow UH to extensively implement later on also functionalities of human resources management .,1
Nordea sees a return to positive growth for the Baltic countries in 2011 .,1
"@Binkster69 Not that. it's just ER's lol. But looking at the correlation of $ARIA and foreign price charts, they are all poised to breakout.",1
"Juha Jordan , chief engineer at Glaston , said one of the reasons for choosing Vacon as a global AC drives supplier is that it has service and support centres in the same countries where Glaston operates .",1
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres .,0
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 .,0
"Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V reported on Thursday 30 October an operating profit of EUR7 .4 m for January-September 2008 , up from EUR6 .1 m in the corresponding period in 2007 .",1
$DCTH Near HOD,1
ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,1
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,0
The acquisition is expected to improve access to chrome ore resources in Turkey .,1
"The respondents praised Finnair 's reliability , Finnishness , and understanding of its target group .",1
Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy .,1
"We aim to ensure that Vacon is in good shape when capital expenditure starts to pick up again , '' comments Vacon Plc President and CEO Vesa Laisi .",1
